size,k,scann_time,fgc_time,count,fixed_dimension,dimension,fixed_size
50000.0,40,1834.190845489502,255.40423393249512,5,3.0,,
100000.0,40,3976.482391357422,29.606342315673828,5,3.0,,
150000.0,40,7095.372915267944,27.4045467376709,5,3.0,,
200000.0,40,7605.423927307129,19.89126205444336,5,3.0,,
250000.0,40,9191.099882125854,47.46675491333008,5,3.0,,
300000.0,40,12082.564353942871,33.96153450012207,5,3.0,,
350000.0,40,14501.089096069336,56.66780471801758,5,3.0,,
400000.0,40,16254.782915115356,65.60373306274414,5,3.0,,
450000.0,40,19310.25981903076,67.4736499786377,5,3.0,,
500000.0,40,21611.451625823975,69.48971748352051,5,3.0,,
550000.0,40,24282.3646068573,99.47013854980467,5,3.0,,
600000.0,40,26922.41477966309,84.64670181274414,5,3.0,,
650000.0,40,29893.2523727417,117.57993698120116,5,3.0,,
700000.0,40,33530.88355064392,175.93693733215332,5,3.0,,
750000.0,40,36191.657304763794,115.42582511901855,5,3.0,,
800000.0,40,38885.11681556702,162.98222541809082,5,3.0,,
850000.0,40,42389.61148262024,177.79088020324707,5,3.0,,
900000.0,40,44419.28672790527,216.5541648864746,5,3.0,,
950000.0,40,47659.25049781799,194.79012489318848,5,3.0,,
1000000.0,40,50562.83664703369,220.7784652709961,5,3.0,,
1050000.0,40,52733.52360725403,234.68017578125,5,3.0,,
1100000.0,40,54906.91685676575,300.9169101715088,5,3.0,,
1150000.0,40,61395.30301094055,248.71087074279785,5,3.0,,
1200000.0,40,64425.49681663513,310.14204025268555,5,3.0,,
1250000.0,40,67536.2343788147,305.1023483276367,5,3.0,,
1300000.0,40,71757.89093971252,346.7273712158203,5,3.0,,
1350000.0,40,74655.522108078,344.93160247802734,5,3.0,,
1400000.0,40,78501.6143321991,382.9164505004883,5,3.0,,
1450000.0,40,83063.56620788574,377.8982162475586,5,3.0,,
1500000.0,40,86130.08427619934,401.1120796203613,5,3.0,,
1550000.0,40,89693.74632835388,459.28454399108887,5,3.0,,
1600000.0,40,94982.91182518004,503.77702713012695,5,3.0,,
1650000.0,40,99327.87585258484,559.2958927154541,5,3.0,,
1700000.0,40,100775.63548088074,628.8197040557861,5,3.0,,
1750000.0,40,109085.00552177428,675.5733489990234,5,3.0,,
1800000.0,40,111064.61262702942,673.8784313201904,5,3.0,,
1850000.0,40,115521.74282073976,631.7863464355469,5,3.0,,
1900000.0,40,120071.22802734376,702.7604579925537,5,3.0,,
1950000.0,40,121111.36269569396,722.3222255706787,5,3.0,,
2000000.0,40,124387.0406150818,739.8109436035156,5,3.0,,
2050000.0,40,127436.77616119383,812.7987384796143,5,3.0,,
2100000.0,40,135028.05733680725,885.5769634246826,5,3.0,,
2150000.0,40,139810.4212284088,844.2792892456055,5,3.0,,
2200000.0,40,143680.65333366394,890.2709484100342,5,3.0,,
2250000.0,40,144239.80712890625,1039.6475791931152,5,3.0,,
2300000.0,40,150770.2407836914,1038.0377769470217,5,3.0,,
2350000.0,40,155450.6049156189,1082.6735496520996,5,3.0,,
2400000.0,40,159753.97300720215,1597.28741645813,5,3.0,,
2450000.0,40,168869.5931434631,1204.8754692077637,5,3.0,,
2500000.0,40,166054.36205863953,1247.2107410430908,5,3.0,,
2550000.0,40,175537.93692588806,1268.7392234802246,5,3.0,,
2600000.0,40,174272.90511131287,1369.2731857299805,5,3.0,,
2650000.0,40,183554.4791221619,1428.4992218017578,5,3.0,,
2700000.0,40,190874.73440170288,1448.509693145752,5,3.0,,
2750000.0,40,196668.74480247495,1506.008863449097,5,3.0,,
2800000.0,40,202529.53791618347,1634.4425678253174,5,3.0,,
2850000.0,40,207094.25163269043,1566.8210983276367,5,3.0,,
2900000.0,40,212634.11808013916,1696.18821144104,5,3.0,,
2950000.0,40,224040.6551361084,1785.86745262146,5,3.0,,
3000000.0,40,221654.17671203613,1802.8762340545657,5,3.0,,
3050000.0,40,229055.9642314911,1817.5609111785889,5,3.0,,
3100000.0,40,234281.67271614075,1946.3253021240232,5,3.0,,
3150000.0,40,242100.3348827362,2194.7195529937744,5,3.0,,
3200000.0,40,244101.27687454224,1958.9638710021973,5,3.0,,
3250000.0,40,247678.9755821228,2025.524377822876,5,3.0,,
3300000.0,40,255632.16161727905,2151.9694328308105,5,3.0,,
3350000.0,40,262029.50859069824,2307.9428672790527,5,3.0,,
3400000.0,40,268161.0760688782,2264.740228652954,5,3.0,,
3450000.0,40,275615.2150630951,2313.948392868042,5,3.0,,
3500000.0,40,287156.51535987854,2311.6695880889893,5,3.0,,
3550000.0,40,291911.0472202301,2371.696949005127,5,3.0,,
3600000.0,40,299989.12143707275,2535.090684890747,5,3.0,,
3650000.0,40,300686.9857311249,2601.414918899536,5,3.0,,
3700000.0,40,310351.89175605774,3015.549659729004,5,3.0,,
3750000.0,40,321127.18510627747,3039.271831512451,5,3.0,,
3800000.0,40,316198.9333629608,2953.645944595337,5,3.0,,
3850000.0,40,320807.74307250977,2880.519390106201,5,3.0,,
3900000.0,40,328694.91147994995,3006.763219833374,5,3.0,,
3950000.0,40,332320.88971138,2965.9574031829834,5,3.0,,
4000000.0,40,343677.4036884308,3242.3582077026367,5,3.0,,
4050000.0,40,348677.6397228241,3145.0650691986084,5,3.0,,
4100000.0,40,351913.6862754822,3171.4928150177,5,3.0,,
4150000.0,40,354530.0099849701,3258.559226989746,5,3.0,,
4200000.0,40,369220.67189216614,3318.1374073028564,5,3.0,,
4250000.0,40,373514.6009922027,3302.8759956359863,5,3.0,,
4300000.0,40,376299.5481491089,3533.557653427124,5,3.0,,
4350000.0,40,387854.6316623688,3670.512914657593,5,3.0,,
4400000.0,40,398859.6761226654,3642.043113708496,5,3.0,,
4450000.0,40,401688.3783340454,3713.254690170288,5,3.0,,
4500000.0,40,418279.0992259979,3978.8973331451416,5,3.0,,
4550000.0,40,423009.76037979126,3869.840383529663,5,3.0,,
4600000.0,40,422448.3106136322,4035.603046417236,5,3.0,,
4650000.0,40,433068.01557540894,4188.8487339019775,5,3.0,,
4700000.0,40,434907.3395729065,4194.441318511963,5,3.0,,
4750000.0,40,437671.6289520264,4377.225399017334,5,3.0,,
4800000.0,40,442392.95649528503,4588.459491729736,5,3.0,,
4850000.0,40,460791.8906211853,4475.1386642456055,5,3.0,,
4900000.0,40,471243.2963848114,4836.7908000946045,5,3.0,,
