dim,points,k,time_ms,status
3,0,40,0.0,empty
3,100000,40,1020.0595604255795,ok
3,500000,40,3106.9243168458343,ok
3,1000000,40,9057.413629256189,ok
3,1500000,40,14463.091383688152,ok
3,2000000,40,18152.60378550738,ok
3,2500000,40,27594.950767233968,ok
3,3000000,40,39031.80710878223,ok
3,3500000,40,54048.74232690781,ok
3,4000000,40,70090.41730687022,ok
3,4500000,40,87950.01650601625,ok
3,5000000,40,108090.90202115476,ok
5,0,40,0.0,empty
5,100000,40,644.3651532754302,ok
5,500000,40,3083.8458882644773,ok
5,1000000,40,9070.657509379089,ok
5,1500000,40,14471.873759292066,ok
5,2000000,40,18136.892810463905,ok
5,2500000,40,27563.466153107584,ok
5,3000000,40,39054.13574632257,ok
5,3500000,40,54148.04261364043,ok
5,4000000,40,70159.40605197102,ok
5,4500000,40,87960.60890424997,ok
5,5000000,40,108174.73560478538,ok
3,0,10,0.0,empty
3,100000,10,631.4630080014467,ok
3,500000,10,1934.6412494778633,ok
3,1000000,10,4671.749200671911,ok
3,1500000,10,9459.976577199996,ok
3,2000000,10,18114.86839968711,ok
3,2500000,10,27589.984158985317,ok
3,3000000,10,38947.06360716373,ok
3,3500000,10,53736.11415922642,ok
3,4000000,10,69329.7538086772,ok
3,4500000,10,86909.73014105111,ok
3,5000000,10,106584.57335364074,ok
3,0,100,0.0,empty
3,100000,100,588.9781443402171,ok
3,500000,100,3547.942698933184,ok
3,1000000,100,10129.405164159834,ok
3,1500000,100,18548.700110055506,ok
3,2000000,100,20468.393676914275,ok
3,2500000,100,30741.98759626597,ok
3,3000000,100,42945.955506525934,ok
3,3500000,100,58658.55108574033,ok
3,4000000,100,75368.15368104726,ok
3,4500000,100,94176.71721242368,ok
3,5000000,100,114949.63496364653,ok
2,5000000,40,108223.3115490526,ok
4,5000000,40,108165.77679198235,ok
6,5000000,40,108306.54544010758,ok
7,5000000,40,108083.76286365092,ok
8,5000000,40,108168.00441034138,ok
9,5000000,40,108108.59807860106,ok
10,5000000,40,108070.69769874215,ok
3,0,40,0.0,empty
3,100000,40,644.4138791412115,ok
3,500000,40,3102.115010842681,ok
3,1000000,40,9107.322694733739,ok
3,1500000,40,14389.827725477517,ok
3,2000000,40,18141.192640177906,ok
3,2500000,40,27624.289727769792,ok
3,3000000,40,38953.30139063299,ok
3,3500000,40,54073.21767695248,ok
3,4000000,40,70140.66705014557,ok
3,4500000,40,87945.8578247577,ok
3,5000000,40,108139.03434108943,ok
5,0,40,0.0,empty
5,100000,40,644.3288754671812,ok
5,500000,40,3084.8123729228973,ok
5,1000000,40,9116.858542896807,ok
5,1500000,40,14464.16588127613,ok
5,2000000,40,18155.716427601874,ok
5,2500000,40,27703.78657337278,ok
5,3000000,40,38958.243236877024,ok
5,3500000,40,54124.43508673459,ok
5,4000000,40,70074.82898887247,ok
5,4500000,40,88089.73061293364,ok
5,5000000,40,108174.99377019703,ok
3,0,10,0.0,empty
3,100000,10,631.5524652600288,ok
3,500000,10,1934.5394596457481,ok
3,1000000,10,4671.643695794046,ok
3,1500000,10,9456.017817370594,ok
3,2000000,10,18101.53387207538,ok
3,2500000,10,27580.49617987126,ok
3,3000000,10,38939.51617926359,ok
3,3500000,10,53720.16709018499,ok
3,4000000,10,69287.92775887996,ok
3,4500000,10,86871.96384556592,ok
3,5000000,10,106592.8086573258,ok
3,0,100,0.0,empty
3,100000,100,589.1439216211438,ok
3,500000,100,3560.7561273500323,ok
3,1000000,100,10124.987130053341,ok
3,1500000,100,18536.44143231213,ok
3,2000000,100,20426.73377133906,ok
3,2500000,100,30786.01494524628,ok
3,3000000,100,42832.67031610012,ok
3,3500000,100,58729.01915200055,ok
3,4000000,100,75352.41809301078,ok
3,4500000,100,94073.76583013684,ok
3,5000000,100,114956.58659376204,ok
2,5000000,40,108318.71839612722,ok
4,5000000,40,108135.17619203776,ok
6,5000000,40,108227.14838664979,ok
7,5000000,40,108270.92938311398,ok
8,5000000,40,108107.50804655254,ok
9,5000000,40,108058.54361038655,ok
10,5000000,40,108135.39380021393,ok
3,0,40,0.0,empty
3,100000,40,899.2877993732691,ok
3,500000,40,3088.9295395463705,ok
3,1000000,40,9125.722889788449,ok
3,1500000,40,14420.610220171511,ok
3,2000000,40,18146.197678521276,ok
3,2500000,40,27585.424817167222,ok
3,3000000,40,39098.56846276671,ok
3,3500000,40,54032.746504060924,ok
3,4000000,40,70112.33726982027,ok
3,4500000,40,87938.11605405062,ok
3,5000000,40,108102.86063328385,ok
5,0,40,0.0,empty
5,100000,40,644.7215061634779,ok
5,500000,40,3105.4468434304,ok
5,1000000,40,9065.612324513495,ok
5,1500000,40,14444.07484959811,ok
5,2000000,40,18154.68320157379,ok
5,2500000,40,27594.312489032745,ok
5,3000000,40,39005.60790114105,ok
5,3500000,40,54062.38243356347,ok
5,4000000,40,70007.9783173278,ok
5,4500000,40,88053.24191506952,ok
5,5000000,40,108266.36382937431,ok
3,0,10,0.0,empty
3,100000,10,631.4988285303116,ok
3,500000,10,1934.3400094658136,ok
3,1000000,10,4667.711967602372,ok
3,1500000,10,9457.354695536196,ok
3,2000000,10,18112.586287781596,ok
3,2500000,10,27570.285115391016,ok
3,3000000,10,38922.98719845712,ok
3,3500000,10,53741.60114303231,ok
3,4000000,10,69302.37682443112,ok
3,4500000,10,86902.24547777325,ok
3,5000000,10,106675.0215087086,ok
3,0,100,0.0,empty
3,100000,100,588.006429374218,ok
3,500000,100,3549.630329012871,ok
3,1000000,100,10125.398180447519,ok
3,1500000,100,18588.562190532684,ok
3,2000000,100,20439.47776965797,ok
3,2500000,100,30705.683854408562,ok
3,3000000,100,42896.3221097365,ok
3,3500000,100,58812.006726861,ok
3,4000000,100,75365.86033552885,ok
3,4500000,100,94071.42668031156,ok
3,5000000,100,115105.03999702632,ok
2,5000000,40,108307.59708303958,ok
4,5000000,40,108130.42424526066,ok
6,5000000,40,108193.81555262953,ok
7,5000000,40,108251.27087812871,ok
8,5000000,40,108223.56101125479,ok
9,5000000,40,345051.29218194634,ok
10,5000000,40,251129.91184811108,ok
3,0,40,0.0,empty
3,100000,40,685.009882086888,ok
3,500000,40,1284.784710034728,ok
3,1000000,40,4747.193772112951,ok
3,1500000,40,10113.573356997222,ok
3,2000000,40,17547.26565699093,ok
3,2500000,40,26907.55742508918,ok
3,3000000,40,38306.29976396449,ok
3,3500000,40,51769.55236890353,ok
3,4000000,40,67166.62452998571,ok
3,4500000,40,84645.85182303563,ok
3,5000000,40,104013.67515698075,ok
5,0,40,0.0,empty
5,100000,40,2372.6502931676805,ok
5,500000,40,3122.5647449027747,ok
5,1000000,40,7246.919042896479,ok
5,1500000,40,15386.232471093535,ok
5,2000000,40,26693.81573679857,ok
5,2500000,40,41247.604315169156,ok
5,3000000,40,58553.70493209921,ok
5,3500000,40,79989.10770495422,ok
5,4000000,40,103705.21393814124,ok
5,4500000,40,130680.40631897748,ok
5,5000000,40,162145.16524388455,ok
3,0,10,0.0,empty
3,100000,10,39.04628800228238,ok
3,500000,10,1197.1488478593528,ok
3,1000000,10,4585.232279030606,ok
3,1500000,10,9949.328273069113,ok
3,2000000,10,17403.747161850333,ok
3,2500000,10,26807.262304006144,ok
3,3000000,10,38209.27124610171,ok
3,3500000,10,51672.11254313588,ok
3,4000000,10,67132.20217591152,ok
3,4500000,10,84580.30587201938,ok
3,5000000,10,104051.3168789912,ok
3,0,100,0.0,empty
3,100000,100,628.7234479095787,ok
3,500000,100,1676.7256590537727,ok
3,1000000,100,5248.184737982228,ok
3,1500000,100,10938.439090969041,ok
3,2000000,100,18714.090122142807,ok
3,2500000,100,28627.072889823467,ok
3,3000000,100,40560.57389406487,ok
3,3500000,100,54692.39464402199,ok
3,4000000,100,70867.19667701982,ok
3,4500000,100,89267.64826592989,ok
3,5000000,100,109536.78746405058,ok
2,5000000,40,89716.77919407375,ok
4,5000000,40,153482.76555887423,ok
6,5000000,40,294145.77366109006,ok
7,5000000,40,342169.533245964,ok
8,5000000,40,330655.03928717226,ok
9,5000000,40,400184.22460812144,ok
10,5000000,40,481694.3497848697,ok
3,0,10,0.0,empty
3,0,10,0.0,empty
3,0,10,0.0,empty
3,0,10,0.0,empty
3,0,10,0.0,empty
3,0,10,0.0,empty
3,0,40,0.0,empty
3,0,40,0.0,empty
3,0,40,0.0,empty
3,0,40,0.0,empty
3,0,40,0.0,empty
3,0,40,0.0,empty
3,0,100,0.0,empty
3,0,100,0.0,empty
3,0,100,0.0,empty
3,0,100,0.0,empty
3,0,100,0.0,empty
3,0,100,0.0,empty
5,0,40,0.0,empty
5,0,40,0.0,empty
5,0,40,0.0,empty
5,0,40,0.0,empty
5,0,40,0.0,empty
5,0,40,0.0,empty
3,100000,10,411.8170770816505,ok
3,100000,10,100.50947801209986,ok
3,100000,10,99.18342996388674,ok
3,100000,10,36.56934108585119,ok
3,100000,10,36.43253189511597,ok
3,100000,10,36.39460983686149,ok
3,100000,40,677.8853901196271,ok
3,100000,40,890.0584308430552,ok
3,100000,40,1130.9730929788202,ok
3,100000,40,1184.6443510148674,ok
3,100000,40,829.4078879989684,ok
3,100000,40,1154.390440089628,ok
3,100000,100,1355.5650010239333,ok
3,100000,100,1346.4684300124645,ok
3,100000,100,1364.8619409650564,ok
3,100000,100,1366.1691439338028,ok
3,100000,100,1388.790925964713,ok
3,100000,100,979.6356859151274,ok
5,100000,40,3961.4097189623863,ok
5,100000,40,4767.703284043819,ok
5,100000,40,2367.837517056614,ok
5,100000,40,2368.1042108219117,ok
5,100000,40,2739.105553831905,ok
5,100000,40,4710.317250108346,ok
3,500000,10,2612.0810541324317,ok
3,500000,10,1458.4723529405892,ok
3,500000,10,1197.4103660322726,ok
3,500000,10,2303.483024938032,ok
3,500000,10,2065.782368183136,ok
3,500000,10,2078.8290619384497,ok
3,500000,40,2673.5891811549664,ok
3,500000,40,2075.746098998934,ok
3,500000,40,2197.3934250418097,ok
3,500000,40,2865.0254330132157,ok
3,500000,40,1376.3753501698375,ok
3,500000,40,1280.2119120024145,ok
3,500000,100,1677.1003629546613,ok
3,500000,100,1673.08395402506,ok
3,500000,100,1678.4545457921922,ok
3,500000,100,1676.3766340445727,ok
3,500000,100,1672.0198709517717,ok
3,500000,100,1673.0232890695333,ok
5,500000,40,3524.0521179512143,ok
5,500000,40,3579.4195670168847,ok
5,500000,40,4890.975635033101,ok
5,500000,40,3976.3494608923793,ok
5,500000,40,4530.146318022162,ok
5,500000,40,5151.4155231416225,ok
3,1000000,10,7945.622406899929,ok
3,1000000,10,7240.360299125314,ok
3,1000000,10,4592.389538884163,ok
3,1000000,10,4587.410388048738,ok
3,1000000,10,4592.140037100762,ok
3,1000000,10,5427.95549496077,ok
3,1000000,40,5839.2989879939705,ok
3,1000000,40,7081.103733973578,ok
3,1000000,40,7640.696136979386,ok
3,1000000,40,5577.644007978961,ok
3,1000000,40,8718.528181081638,ok
3,1000000,40,5193.525346927345,ok
3,1000000,100,5266.282544005662,ok
3,1000000,100,6127.250049030408,ok
3,1000000,100,6064.991053193808,ok
3,1000000,100,5245.978660881519,ok
