dim,points,k,time_ms,status
3,0,40,0.0,empty
3,100000,40,1020.0595604255795,ok
3,500000,40,3106.9243168458343,ok
3,1000000,40,9057.413629256189,ok
3,1500000,40,14463.091383688152,ok
3,2000000,40,18152.60378550738,ok
3,2500000,40,27594.950767233968,ok
3,3000000,40,39031.80710878223,ok
3,3500000,40,54048.74232690781,ok
3,4000000,40,70090.41730687022,ok
3,4500000,40,87950.01650601625,ok
3,5000000,40,108090.90202115476,ok
5,0,40,0.0,empty
5,100000,40,644.3651532754302,ok
5,500000,40,3083.8458882644773,ok
5,1000000,40,9070.657509379089,ok
5,1500000,40,14471.873759292066,ok
5,2000000,40,18136.892810463905,ok
5,2500000,40,27563.466153107584,ok
5,3000000,40,39054.13574632257,ok
5,3500000,40,54148.04261364043,ok
5,4000000,40,70159.40605197102,ok
5,4500000,40,87960.60890424997,ok
5,5000000,40,108174.73560478538,ok
3,0,10,0.0,empty
3,100000,10,631.4630080014467,ok
3,500000,10,1934.6412494778633,ok
3,1000000,10,4671.749200671911,ok
3,1500000,10,9459.976577199996,ok
3,2000000,10,18114.86839968711,ok
3,2500000,10,27589.984158985317,ok
3,3000000,10,38947.06360716373,ok
3,3500000,10,53736.11415922642,ok
3,4000000,10,69329.7538086772,ok
3,4500000,10,86909.73014105111,ok
3,5000000,10,106584.57335364074,ok
3,0,100,0.0,empty
3,100000,100,588.9781443402171,ok
3,500000,100,3547.942698933184,ok
3,1000000,100,10129.405164159834,ok
3,1500000,100,18548.700110055506,ok
3,2000000,100,20468.393676914275,ok
3,2500000,100,30741.98759626597,ok
3,3000000,100,42945.955506525934,ok
3,3500000,100,58658.55108574033,ok
3,4000000,100,75368.15368104726,ok
3,4500000,100,94176.71721242368,ok
3,5000000,100,114949.63496364653,ok
2,5000000,40,108223.3115490526,ok
4,5000000,40,108165.77679198235,ok
6,5000000,40,108306.54544010758,ok
7,5000000,40,108083.76286365092,ok
8,5000000,40,108168.00441034138,ok
9,5000000,40,108108.59807860106,ok
10,5000000,40,108070.69769874215,ok
11,5000000,40,108147.35090825707,ok
12,5000000,40,108243.56549233198,ok
13,5000000,40,108242.76577588171,ok
14,5000000,40,108297.69522417337,ok
15,5000000,40,108214.98657856137,ok
3,0,40,0.0,empty
3,100000,40,644.4138791412115,ok
3,500000,40,3102.115010842681,ok
3,1000000,40,9107.322694733739,ok
3,1500000,40,14389.827725477517,ok
3,2000000,40,18141.192640177906,ok
3,2500000,40,27624.289727769792,ok
3,3000000,40,38953.30139063299,ok
3,3500000,40,54073.21767695248,ok
3,4000000,40,70140.66705014557,ok
3,4500000,40,87945.8578247577,ok
3,5000000,40,108139.03434108943,ok
5,0,40,0.0,empty
5,100000,40,644.3288754671812,ok
5,500000,40,3084.8123729228973,ok
5,1000000,40,9116.858542896807,ok
5,1500000,40,14464.16588127613,ok
5,2000000,40,18155.716427601874,ok
5,2500000,40,27703.78657337278,ok
5,3000000,40,38958.243236877024,ok
5,3500000,40,54124.43508673459,ok
5,4000000,40,70074.82898887247,ok
5,4500000,40,88089.73061293364,ok
5,5000000,40,108174.99377019703,ok
3,0,10,0.0,empty
3,100000,10,631.5524652600288,ok
3,500000,10,1934.5394596457481,ok
3,1000000,10,4671.643695794046,ok
3,1500000,10,9456.017817370594,ok
3,2000000,10,18101.53387207538,ok
3,2500000,10,27580.49617987126,ok
3,3000000,10,38939.51617926359,ok
3,3500000,10,53720.16709018499,ok
3,4000000,10,69287.92775887996,ok
3,4500000,10,86871.96384556592,ok
3,5000000,10,106592.8086573258,ok
3,0,100,0.0,empty
3,100000,100,589.1439216211438,ok
3,500000,100,3560.7561273500323,ok
3,1000000,100,10124.987130053341,ok
3,1500000,100,18536.44143231213,ok
3,2000000,100,20426.73377133906,ok
3,2500000,100,30786.01494524628,ok
3,3000000,100,42832.67031610012,ok
3,3500000,100,58729.01915200055,ok
3,4000000,100,75352.41809301078,ok
3,4500000,100,94073.76583013684,ok
3,5000000,100,114956.58659376204,ok
2,5000000,40,108318.71839612722,ok
4,5000000,40,108135.17619203776,ok
6,5000000,40,108227.14838664979,ok
7,5000000,40,108270.92938311398,ok
8,5000000,40,108107.50804655254,ok
9,5000000,40,108058.54361038655,ok
10,5000000,40,108135.39380021393,ok
11,5000000,40,108178.69527451694,ok
12,5000000,40,108183.36742185056,ok
13,5000000,40,108057.26066883653,ok
14,5000000,40,108081.57597389072,ok
15,5000000,40,108280.33279255033,ok
