algorithm,dim,points,k,memory_mb,status
fgc,6,100000,40,159.383552,ok
fgc,7,100000,40,159.383552,ok
fgc,8,100000,40,159.383552,ok
fgc,9,100000,40,159.383552,ok
fgc,10,100000,40,159.383552,ok
fgc,3,500000,10,245.36678400000005,ok
fgc,3,500000,40,725.6145919999999,ok
fgc,3,500000,100,1681.915904,ok
fgc,5,500000,40,725.6145919999999,ok
fgc,2,500000,40,706.7402239999999,ok
fgc,4,500000,40,725.6145919999999,ok
fgc,6,500000,40,738.1975039999998,ok
fgc,7,500000,40,740.294656,ok
fgc,8,500000,40,742.3918079999999,ok
fgc,9,500000,40,744.4889600000001,ok
fgc,10,500000,40,746.586112,ok
fgc,3,1000000,10,482.3449599999999,ok
fgc,3,1000000,40,1438.646272,ok
fgc,3,1000000,100,3357.5403519999995,ok
fgc,5,1000000,40,1459.617792,ok
fgc,2,1000000,40,1417.674752,ok
fgc,4,1000000,40,1455.423488,ok
fgc,6,1000000,40,1488.9779199999998,ok
fgc,7,1000000,40,1497.366528,ok
fgc,8,1000000,40,1505.7551359999998,ok
fgc,9,1000000,40,1514.143744,ok
fgc,10,1000000,40,1522.5323519999997,ok
fgc,3,1500000,10,694.157312,ok
fgc,3,1500000,40,2130.706432,ok
fgc,3,1500000,100,5016.387584,ok
fgc,5,1500000,40,2193.620992,ok
fgc,2,1500000,40,2097.152,ok
fgc,4,1500000,40,2155.872256,ok
fgc,6,1500000,40,2206.203904,ok
fgc,7,1500000,40,2218.786816,ok
fgc,8,1500000,40,2227.175424,ok
fgc,9,1500000,40,2239.758336,ok
fgc,10,1500000,40,2252.3412479999997,ok
fgc,3,2000000,10,926.9411839999998,ok
fgc,3,2000000,40,2845.835264,ok
fgc,3,2000000,100,6681.526271999999,ok
fgc,5,2000000,40,2929.721344,ok
fgc,2,2000000,40,2787.115008,ok
fgc,4,2000000,40,2879.3896959999997,ok
fgc,6,2000000,40,2942.304256,ok
fgc,7,2000000,40,2959.0814720000003,ok
fgc,8,2000000,40,2975.858688,ok
fgc,9,2000000,40,2992.635904,ok
fgc,10,2000000,40,3009.4131199999997,ok
fgc,3,2500000,10,1149.2392959999997,ok
fgc,3,2500000,40,3548.3811840000003,ok
fgc,3,2500000,100,8346.66496,ok
fgc,5,2500000,40,3649.04448,ok
fgc,2,2500000,40,3474.9808639999997,ok
fgc,4,2500000,40,3590.3242239999995,ok
fgc,6,2500000,40,3670.016,ok
fgc,7,2500000,40,3690.98752,ok
fgc,8,2500000,40,3711.95904,ok
fgc,9,2500000,40,3728.7362559999997,ok
fgc,10,2500000,40,3749.7077759999997,ok
fgc,3,3000000,10,1417.674752,ok
fgc,3,3000000,40,4292.870144,ok
fgc,3,3000000,100,10057.940992,ok
fgc,5,3000000,40,4414.50496,ok
fgc,2,3000000,40,4188.012543999999,ok
fgc,4,3000000,40,4341.10464,ok
fgc,6,3000000,40,4439.670784,ok
fgc,7,3000000,40,4464.836608,ok
fgc,8,3000000,40,4485.808128000001,ok
fgc,9,3000000,40,4510.973952,ok
fgc,10,3000000,40,4536.139776,ok
fgc,3,3500000,10,1639.9728639999998,ok
fgc,3,3500000,40,5005.9018240000005,ok
fgc,3,3500000,100,11723.07968,ok
fgc,5,3500000,40,5148.508159999999,ok
fgc,2,3500000,40,4911.529984000001,ok
fgc,4,3500000,40,5062.524928000001,ok
fgc,6,3500000,40,5177.868288,ok
fgc,7,3500000,40,5203.034111999999,ok
fgc,8,3500000,40,5232.39424,ok
fgc,9,3500000,40,5261.754368,ok
fgc,10,3500000,40,5286.920192,ok
fgc,3,4000000,10,1864.368128,ok
fgc,3,4000000,40,5706.350592000001,ok
fgc,3,4000000,100,13379.82976,ok
fgc,5,4000000,40,5869.928448000001,ok
fgc,2,4000000,40,5599.395839999999,ok
fgc,4,4000000,40,5771.362304,ok
fgc,6,4000000,40,5899.288576000001,ok
fgc,7,4000000,40,5932.843008,ok
fgc,8,4000000,40,5966.397440000001,ok
fgc,9,4000000,40,5995.757567999999,ok
fgc,10,4000000,40,6029.312,ok
fgc,3,4500000,10,2090.860544,ok
fgc,3,4500000,40,6413.090816,ok
fgc,3,4500000,100,15053.357056,ok
fgc,5,4500000,40,6593.445888,ok
fgc,2,4500000,40,6289.358848,ok
fgc,4,4500000,40,6486.491136000001,ok
fgc,6,4500000,40,6631.194624,ok
fgc,7,4500000,40,6668.943359999999,ok
fgc,8,4500000,40,6702.497792,ok
fgc,9,4500000,40,6740.246528,ok
fgc,10,4500000,40,6773.8009600000005,ok
fgc,3,5000000,10,2327.8387199999997,ok
fgc,3,5000000,40,7126.122496,ok
