dim,points,k,itopk_size,time_ms,recall,status
3,100000,10,32,235.21781410090625,0.8166220188140869,ok
3,100000,10,32,75.93957497738302,0.8195040225982666,ok
3,100000,10,32,74.90145205520093,0.8125489950180054,ok
3,100000,10,64,144.00369115173817,0.8201500177383423,ok
3,100000,10,64,146.97686792351305,0.8040990233421326,ok
3,100000,10,64,146.0366810206324,0.8051329851150513,ok
3,100000,10,128,278.39505998417735,0.8200389742851257,ok
3,100000,10,128,277.04925602301955,0.81973797082901,ok
3,100000,10,128,280.1716898102313,0.8257619738578796,ok
3,100000,10,256,594.6166689973325,0.8282129764556885,ok
3,100000,10,256,554.1152940131724,0.8280940055847168,ok
3,100000,10,256,546.5808080043644,0.8278669714927673,ok
3,100000,10,512,1948.1096309609711,0.8326460123062134,ok
3,100000,10,512,1979.3951429892331,0.8306949734687805,ok
3,100000,10,512,1952.5061240419745,0.8302469849586487,ok
3,100000,40,32,,,error
3,100000,40,32,,,error
3,100000,40,32,,,error
3,100000,40,64,147.62886078096926,0.9219064712524414,ok
3,100000,40,64,148.14371499232948,0.9326704740524292,ok
3,100000,40,64,148.57030101120472,0.9129932522773743,ok
3,100000,40,128,278.9417009335011,0.9393399953842163,ok
3,100000,40,128,275.68592596799135,0.9472192525863647,ok
3,100000,40,128,276.10131190158427,0.945688009262085,ok
3,100000,40,256,595.9806710015982,0.9484789967536926,ok
3,100000,40,256,593.0749080143869,0.9502662420272827,ok
3,100000,40,256,568.7399518210441,0.9452254772186279,ok
3,100000,40,512,1985.7398490421474,0.951722264289856,ok
3,100000,40,512,1930.9481249656528,0.9409875273704529,ok
3,100000,40,512,1943.5857720673084,0.9576764702796936,ok
3,100000,100,32,,,error
3,100000,100,32,,,error
3,100000,100,32,,,error
3,100000,100,64,,,error
3,100000,100,64,,,error
3,100000,100,64,,,error
3,100000,100,128,279.27189506590366,0.9369516968727112,ok
3,100000,100,128,278.29586900770664,0.9337323307991028,ok
3,100000,100,128,280.84452683106065,0.9597331881523132,ok
3,100000,100,256,574.889917857945,0.9808164238929749,ok
3,100000,100,256,555.469635874033,0.9800347089767456,ok
3,100000,100,256,548.1656361371279,0.9660658240318298,ok
3,100000,100,512,1948.4226831700653,0.979356586933136,ok
3,100000,100,512,1979.5407068450004,0.9747484922409058,ok
3,100000,100,512,1969.3944950122386,0.9850950241088867,ok
5,100000,40,32,,,error
5,100000,40,32,,,error
5,100000,40,32,,,error
5,100000,40,64,183.5806518793106,0.02381725050508976,ok
5,100000,40,64,173.46372408792377,0.029994750395417213,ok
5,100000,40,64,167.39125386811793,0.036920249462127686,ok
5,100000,40,128,338.31028593704104,0.03083699941635132,ok
5,100000,40,128,311.2849199678749,0.021525999531149864,ok
5,100000,40,128,297.73178487084806,0.03544799983501434,ok
5,100000,40,256,641.6862988844514,0.05747874826192856,ok
5,100000,40,256,687.3032229486853,0.0648762509226799,ok
5,100000,40,256,635.093139950186,0.06565675139427185,ok
5,100000,40,512,2316.654282156378,0.06960350275039673,ok
5,100000,40,512,2764.0382579993457,0.06060374900698662,ok
5,100000,40,512,2699.7094079852104,0.04956274852156639,ok
3,500000,10,32,378.17631498910487,0.4863561987876892,ok
3,500000,10,32,371.7733209487051,0.47529441118240356,ok
3,500000,10,32,371.4678331743926,0.469827800989151,ok
3,500000,10,64,729.382670018822,0.516838014125824,ok
3,500000,10,64,726.7606859095395,0.5238739848136902,ok
3,500000,10,64,731.6553050186485,0.5153992176055908,ok
3,500000,10,128,1099.4293158873916,0.5472171902656555,ok
3,500000,10,128,1106.5308679826558,0.5429379940032959,ok
3,500000,10,128,1127.607909962535,0.5415992140769958,ok
3,500000,10,256,2429.7664780169725,0.562138020992279,ok
3,500000,10,256,2412.685309071094,0.5762026309967041,ok
3,500000,10,256,2445.0839501805604,0.5697590112686157,ok
3,500000,10,512,7712.287031114101,0.5817112326622009,ok
3,500000,10,512,7675.907781114802,0.5866631865501404,ok
3,500000,10,512,7725.958714960143,0.5843510031700134,ok
3,500000,40,32,,,error
3,500000,40,32,,,error
3,500000,40,32,,,error
3,500000,40,64,729.4143491890281,0.6146382689476013,ok
3,500000,40,64,734.5333970151842,0.6168752312660217,ok
3,500000,40,64,732.6044200453907,0.6247091293334961,ok
3,500000,40,128,1135.9664900228381,0.6434588432312012,ok
3,500000,40,128,1059.6058429218829,0.6701468825340271,ok
3,500000,40,128,1111.8297739885747,0.6720917820930481,ok
3,500000,40,256,2420.79408490099,0.6926883459091187,ok
3,500000,40,256,2429.558916017413,0.6917150616645813,ok
3,500000,40,256,2473.444893024862,0.6854473948478699,ok
