dim,points,k,tau_query,time_ms,recall_set,recall_dist,status
3,100000,10,0.3,51.187444012612104,0.48718398809432983,0.487184,ok
3,100000,10,0.3,44.284521136432886,0.48717600107192993,0.487176,ok
3,100000,10,0.3,43.677994050085545,0.48468101024627686,0.484681,ok
3,100000,10,0.5,62.44841916486621,0.5102069973945618,0.510207,ok
3,100000,10,0.5,62.272456008940935,0.5133799910545349,0.51338,ok
3,100000,10,0.5,62.447057105600834,0.5133690237998962,0.513369,ok
3,100000,10,0.64,73.12655076384544,0.5272780060768127,0.527278,ok
3,100000,10,0.64,78.33976997062564,0.5272859930992126,0.527286,ok
3,100000,10,0.64,72.96368200331926,0.5304009914398193,0.530401,ok
3,100000,10,0.8,81.37404592707753,0.5439329743385315,0.543933,ok
3,100000,10,0.8,81.923124846071,0.5440850257873535,0.544085,ok
3,100000,10,0.8,81.2821933068335,0.5473930239677429,0.547393,ok
3,100000,40,0.3,83.81744707003236,0.5210182666778564,0.52102275,ok
3,100000,40,0.3,82.5535380281508,0.5211507678031921,0.52115525,ok
3,100000,40,0.3,82.79126696288586,0.5209872722625732,0.52099175,ok
3,100000,40,0.5,101.07513098046184,0.5395997762680054,0.5396105,ok
3,100000,40,0.5,100.49244901165366,0.5394880175590515,0.5394985,ok
3,100000,40,0.5,103.75202260911465,0.5393017530441284,0.5393125,ok
3,100000,40,0.64,110.74153985828161,0.5518280267715454,0.551839,ok
3,100000,40,0.64,111.16564180701971,0.5518285036087036,0.55183925,ok
3,100000,40,0.64,110.90246494859457,0.5517907738685608,0.5518015,ok
3,100000,40,0.8,118.23837598785758,0.5640345215797424,0.56404625,ok
3,100000,40,0.8,118.18179907277226,0.5639357566833496,0.56394725,ok
3,100000,40,0.8,119.28996536880732,0.5603644847869873,0.56037575,ok
3,100000,100,0.3,143.6269860714674,0.545283317565918,0.5453025,ok
3,100000,100,0.3,142.80336815863848,0.5420908331871033,0.5421099,ok
3,100000,100,0.3,142.05847959965467,0.5452747941017151,0.5452939,ok
3,100000,100,0.5,162.5974988564849,0.5544217824935913,0.5544413,ok
3,100000,100,0.5,163.07295206934214,0.5545130968093872,0.5545326,ok
3,100000,100,0.5,162.06758096814156,0.5508643984794617,0.5508839,ok
3,100000,100,0.64,173.69330069050193,0.5589300990104675,0.5589498,ok
3,100000,100,0.64,174.455052241683,0.5623186230659485,0.5623383,ok
3,100000,100,0.64,173.09304513037205,0.5624653100967407,0.562485,ok
3,100000,100,0.8,180.78647693619132,0.5681999325752258,0.5682197,ok
3,100000,100,0.8,180.46054197475314,0.5679113864898682,0.5679312,ok
3,100000,100,0.8,180.64733501523733,0.5683345198631287,0.5683543,ok
5,100000,40,0.3,63.86436987668276,0.028145749121904373,0.0281475,ok
5,100000,40,0.3,64.6256199106574,0.028154250234365463,0.028156,ok
5,100000,40,0.3,64.0836339443922,0.028154250234365463,0.028156,ok
5,100000,40,0.5,74.48443723842502,0.02858925051987171,0.028591,ok
5,100000,40,0.5,74.64657397940755,0.02858925051987171,0.028591,ok
5,100000,40,0.5,74.47669329121709,0.02858925051987171,0.028591,ok
5,100000,40,0.64,81.03745337575674,0.02905699983239174,0.02905875,ok
5,100000,40,0.64,81.01134281605482,0.02905699983239174,0.02905875,ok
5,100000,40,0.64,80.95621829852462,0.02905699983239174,0.02905875,ok
5,100000,40,0.8,84.63042881339788,0.029729250818490982,0.0297335,ok
5,100000,40,0.8,84.78468982502818,0.029713500291109085,0.02971775,ok
5,100000,40,0.8,85.15095291659236,0.029726749286055565,0.029731,ok
2,100000,40,0.3,82.37641490995884,0.5209804773330688,0.52098475,ok
2,100000,40,0.3,81.96397498250008,0.5209762454032898,0.52098075,ok
2,100000,40,0.3,82.1907240897417,0.5210580229759216,0.52106275,ok
2,100000,40,0.5,99.95330218225718,0.5396867394447327,0.53969725,ok
