dim,points,k,tau_query,time_ms,recall,status
3,100000,10,0.3,51.677406998351216,0.44406798481941223,ok
3,100000,10,0.3,44.06762099824846,0.44655001163482666,ok
3,100000,10,0.3,44.24207005649805,0.4468249976634979,ok
3,100000,10,0.5,62.710917089134455,0.4690670073032379,ok
3,100000,10,0.5,62.88279197178781,0.46920499205589294,ok
3,100000,10,0.5,62.59321398101747,0.46920499205589294,ok
3,100000,10,0.64,73.72739305719733,0.4802449941635132,ok
3,100000,10,0.64,73.17800493910909,0.4833959937095642,ok
3,100000,10,0.64,73.70607322081923,0.4803589880466461,ok
3,100000,10,0.8,81.16539497859776,0.4971979856491089,ok
3,100000,10,0.8,81.43655792810023,0.49732500314712524,ok
3,100000,10,0.8,81.56450907699764,0.49427899718284607,ok
3,100000,40,0.3,83.99062603712082,0.5088114738464355,ok
3,100000,40,0.3,83.72702798806131,0.5088752508163452,ok
3,100000,40,0.3,83.65216595120728,0.5088807344436646,ok
3,100000,40,0.5,101.36983194388449,0.527214765548706,ok
3,100000,40,0.5,101.2808340601623,0.5268897414207458,ok
3,100000,40,0.5,101.60864307545125,0.5268757343292236,ok
3,100000,40,0.64,111.72499903477728,0.5390499830245972,ok
3,100000,40,0.64,111.91598884761333,0.5388882756233215,ok
3,100000,40,0.64,112.77332110330462,0.538907527923584,ok
3,100000,40,0.8,120.32417487353086,0.5469930171966553,ok
3,100000,40,0.8,119.57802507095039,0.5507435202598572,ok
3,100000,40,0.8,119.62528503499925,0.5508147478103638,ok
3,100000,100,0.3,144.92887095548213,0.5415681004524231,ok
3,100000,100,0.3,143.51004897616804,0.5382627844810486,ok
3,100000,100,0.3,144.62384395301342,0.541566014289856,ok
3,100000,100,0.5,163.92637696117163,0.5506588220596313,ok
3,100000,100,0.5,164.05438887886703,0.5470886826515198,ok
3,100000,100,0.5,164.4149599596858,0.5470892786979675,ok
3,100000,100,0.64,174.56310614943504,0.558506429195404,ok
3,100000,100,0.64,175.51273992285132,0.558638334274292,ok
3,100000,100,0.64,175.95770116895437,0.5549421906471252,ok
3,100000,100,0.8,182.58526199497283,0.5643588304519653,ok
3,100000,100,0.8,182.6143260113895,0.5643838047981262,ok
3,100000,100,0.8,183.21172497235239,0.5644106268882751,ok
5,100000,40,0.3,66.11893908120692,0.01610499992966652,ok
5,100000,40,0.3,65.26987394317985,0.01610499992966652,ok
5,100000,40,0.3,66.88957591541111,0.016103500500321388,ok
5,100000,40,0.5,76.58488489687443,0.01631549932062626,ok
5,100000,40,0.5,77.00211391784251,0.016301000490784645,ok
5,100000,40,0.5,76.68328122235835,0.01631549932062626,ok
5,100000,40,0.64,82.69905392080545,0.016617249697446823,ok
5,100000,40,0.64,83.25944398529828,0.016617249697446823,ok
5,100000,40,0.64,83.41525797732174,0.016617249697446823,ok
5,100000,40,0.8,87.2008849401027,0.0170889999717474,ok
5,100000,40,0.8,86.29621495492756,0.017075499519705772,ok
5,100000,40,0.8,86.68129309080541,0.0170889999717474,ok
2,100000,40,0.3,83.96512782201171,0.5090609788894653,ok
2,100000,40,0.3,83.74557318165898,0.5088915228843689,ok
2,100000,40,0.3,83.4007509984076,0.5089552402496338,ok
2,100000,40,0.5,101.92081402055919,0.526708722114563,ok
2,100000,40,0.5,101.61369293928146,0.5237012505531311,ok
2,100000,40,0.5,101.69845283962786,0.5268922448158264,ok
2,100000,40,0.64,111.88944987952709,0.5389410257339478,ok
2,100000,40,0.64,112.06193594262004,0.5389082431793213,ok
2,100000,40,0.64,112.30607703328133,0.535302996635437,ok
2,100000,40,0.8,119.3677878472954,0.5507357716560364,ok
2,100000,40,0.8,119.58135198801756,0.5508834719657898,ok
2,100000,40,0.8,119.13902498781681,0.550793468952179,ok
4,100000,40,0.3,84.22819501720369,0.504096269607544,ok
4,100000,40,0.3,84.07277101650834,0.5040777325630188,ok
4,100000,40,0.3,83.45105592161417,0.5040695071220398,ok
4,100000,40,0.5,102.50087990425527,0.518162727355957,ok
4,100000,40,0.5,101.94909712299705,0.5214660167694092,ok
4,100000,40,0.5,101.78047814406455,0.5214185118675232,ok
4,100000,40,0.64,112.68287990242243,0.5324582457542419,ok
4,100000,40,0.64,112.45570005849004,0.5324612259864807,ok
4,100000,40,0.64,112.49630618840456,0.532337486743927,ok
4,100000,40,0.8,120.73152582161129,0.5402447581291199,ok
4,100000,40,0.8,120.28228607960045,0.5440850257873535,ok
4,100000,40,0.8,120.3393938485533,0.5440354943275452,ok
6,100000,40,0.3,69.78759518824518,0.9717517495155334,ok
6,100000,40,0.3,70.68577315658331,0.9717504978179932,ok
6,100000,40,0.3,69.73452516831458,0.9717517495155334,ok
6,100000,40,0.5,70.78474014997482,0.9721197485923767,ok
6,100000,40,0.5,71.04648509994149,0.9721197485923767,ok
6,100000,40,0.5,71.0223198402673,0.9721197485923767,ok
6,100000,40,0.64,71.65061682462692,0.9725422263145447,ok
6,100000,40,0.64,71.37483614496887,0.9725422263145447,ok
6,100000,40,0.64,71.55033689923584,0.9725412726402283,ok
6,100000,40,0.8,71.8038568738848,0.972989022731781,ok
6,100000,40,0.8,71.91080902703106,0.9729892611503601,ok
6,100000,40,0.8,71.86755700968206,0.9729882478713989,ok
7,100000,40,0.3,54.718616884201765,0.9982732534408569,ok
7,100000,40,0.3,54.67392201535404,0.9982730150222778,ok
7,100000,40,0.3,54.37426595017314,0.9982730150222778,ok
7,100000,40,0.5,54.3353829998523,0.9983017444610596,ok
7,100000,40,0.5,54.013113025575876,0.9983019828796387,ok
7,100000,40,0.5,54.23199594952166,0.9983017444610596,ok
7,100000,40,0.64,54.13713678717613,0.9983112215995789,ok
7,100000,40,0.64,54.11712918430567,0.9983109831809998,ok
7,100000,40,0.64,53.94701799377799,0.9983112215995789,ok
7,100000,40,0.8,54.404973052442074,0.9983207583427429,ok
7,100000,40,0.8,54.28636004216969,0.9983207583427429,ok
7,100000,40,0.8,54.18055993504822,0.998320996761322,ok
8,100000,40,0.3,54.333599051460624,0.9980147480964661,ok
8,100000,40,0.3,53.97817678749561,0.9980147480964661,ok
8,100000,40,0.3,53.91620984300971,0.9980149865150452,ok
8,100000,40,0.5,53.811372024938464,0.9980564713478088,ok
8,100000,40,0.5,53.748332895338535,0.9980564713478088,ok
8,100000,40,0.5,53.782736882567406,0.9980564713478088,ok
8,100000,40,0.64,53.74756106175482,0.9980834722518921,ok
8,100000,40,0.64,53.764442913234234,0.9980840086936951,ok
8,100000,40,0.64,53.89433796517551,0.9980844855308533,ok
8,100000,40,0.8,53.793298080563545,0.9980840086936951,ok
8,100000,40,0.8,53.75460418872535,0.9980840086936951,ok
8,100000,40,0.8,53.76070598140359,0.9980840086936951,ok
9,100000,40,0.3,54.0020118933171,0.9980147480964661,ok
9,100000,40,0.3,53.88478096574545,0.9980147480964661,ok
9,100000,40,0.3,53.94100700505078,0.9980147480964661,ok
9,100000,40,0.5,54.2141729965806,0.9980564713478088,ok
9,100000,40,0.5,53.95811889320612,0.9980562329292297,ok
9,100000,40,0.5,53.86503296904266,0.9980564713478088,ok
9,100000,40,0.64,53.809568053111434,0.9980842471122742,ok
9,100000,40,0.64,53.7587518338114,0.9980840086936951,ok
9,100000,40,0.64,53.72641095891595,0.9980840086936951,ok
9,100000,40,0.8,53.767337929457426,0.9980842471122742,ok
9,100000,40,0.8,53.795030107721686,0.9980842471122742,ok
9,100000,40,0.8,53.66367311216891,0.9980847239494324,ok
10,100000,40,0.3,53.84342186152935,0.9978047609329224,ok
10,100000,40,0.3,54.12696814164519,0.9978042244911194,ok
10,100000,40,0.3,54.0254358202219,0.9978047609329224,ok
10,100000,40,0.5,53.921439219266176,0.9978482723236084,ok
10,100000,40,0.5,53.559716092422605,0.9978482723236084,ok
10,100000,40,0.5,53.87422093190253,0.9978479743003845,ok
10,100000,40,0.64,53.78861795179546,0.9978837370872498,ok
10,100000,40,0.64,53.762529976665974,0.9978839755058289,ok
10,100000,40,0.64,53.8778780028224,0.9978842735290527,ok
10,100000,40,0.8,53.60257695429027,0.9978839755058289,ok
10,100000,40,0.8,53.65050700493157,0.9978839755058289,ok
10,100000,40,0.8,53.80368698388338,0.9978842735290527,ok
3,500000,10,0.3,449.3294770363718,0.30483561754226685,ok
3,500000,10,0.3,447.7956967893988,0.3048141896724701,ok
3,500000,10,0.3,448.213716968894,0.3050343990325928,ok
3,500000,10,0.5,553.5831209272146,0.31286799907684326,ok
3,500000,10,0.5,553.3026400953531,0.3127729892730713,ok
3,500000,10,0.5,553.7826078943908,0.31282639503479004,ok
3,500000,10,0.64,607.4165648315102,0.3172335922718048,ok
3,500000,10,0.64,607.169097987935,0.3173882067203522,ok
3,500000,10,0.64,607.6879089232534,0.3172999918460846,ok
3,500000,10,0.8,648.3588451519608,0.32110241055488586,ok
3,500000,10,0.8,648.9015209954232,0.32134079933166504,ok
3,500000,10,0.8,648.2032709755003,0.32114681601524353,ok
3,500000,40,0.3,640.6567040830851,0.36564716696739197,ok
3,500000,40,0.3,637.9887999501079,0.3655579686164856,ok
3,500000,40,0.3,636.8655280675739,0.3657121956348419,ok
3,500000,40,0.5,748.3534209895879,0.37245234847068787,ok
3,500000,40,0.5,746.9774088822305,0.3719927668571472,ok
3,500000,40,0.5,746.1894799489528,0.3721684515476227,ok
3,500000,40,0.64,801.4767379499972,0.37624406814575195,ok
3,500000,40,0.64,800.8286629337817,0.3762553632259369,ok
3,500000,40,0.64,802.9024330899119,0.3764263093471527,ok
3,500000,40,0.8,844.0149950329214,0.37985795736312866,ok
3,500000,40,0.8,845.2532959636301,0.3801420032978058,ok
3,500000,40,0.8,846.4824000839144,0.3800448179244995,ok
3,500000,100,0.3,1048.2239429838955,0.3964555859565735,ok
3,500000,100,0.3,1045.1576258055866,0.3963802456855774,ok
3,500000,100,0.3,1044.582859845832,0.39634063839912415,ok
3,500000,100,0.5,1159.3676649499685,0.400358647108078,ok
3,500000,100,0.5,1156.835698056966,0.4003591239452362,ok
3,500000,100,0.5,1161.0152500215918,0.40032246708869934,ok
3,500000,100,0.64,1212.8708709497005,0.40302416682243347,ok
3,500000,100,0.64,1213.9739959966391,0.4028692841529846,ok
3,500000,100,0.64,1213.0620509851724,0.4030076861381531,ok
3,500000,100,0.8,1255.4331950377673,0.40561479330062866,ok
