size,k,faiss_time,fgc_time,count,dimension
1000,10,23.926258087158203,350.2565026283264,4,10
1000,40,2.705395221710205,31.2679409980774,4,10
1000,100,3.0588507652282715,29.112637042999264,4,10
2000,10,3.7238001823425297,65.41305780410767,4,10
2000,40,6.071329116821289,35.17711162567139,4,10
2000,100,8.066236972808838,33.274173736572266,4,10
3000,10,4.21220064163208,62.29257583618165,4,10
3000,40,8.23146104812622,44.45004463195801,4,10
3000,100,7.443487644195557,46.62525653839111,4,10
4000,10,5.150735378265381,65.90574979782104,4,10
4000,40,7.342219352722168,42.08850860595703,4,10
4000,100,9.588062763214111,49.67790842056274,4,10
5000,10,3.113428751627604,91.2347634633382,3,10
5000,40,7.725159327189128,38.36218516031901,3,10
5000,100,10.242859522501629,38.15627098083496,3,10
6000,10,2.117713292439779,75.99186897277832,3,10
6000,40,7.196108500162761,54.636081059773765,3,10
6000,100,16.238292058308918,51.77680651346842,3,10
7000,10,5.573590596516927,123.57417742411296,3,10
7000,40,6.7700544993082685,72.51556714375813,3,10
7000,100,18.70298385620117,44.83167330423991,3,10
8000,10,3.105640411376953,105.10810216267905,3,10
8000,40,6.549358367919922,72.58447011311848,3,10
8000,100,18.40321222941081,57.820638020833336,3,10
9000,10,3.925879796346029,113.41460545857748,3,10
9000,40,5.932807922363281,73.5776424407959,3,10
9000,100,48.8740603129069,74.80255762736003,3,10
10000,10,7.352749506632487,136.69395446777344,3,10
10000,40,6.985267003377278,75.12354850769043,3,10
10000,100,22.4901835123698,76.18133227030437,3,10
20000,10,11.2457275390625,162.32864061991373,3,10
20000,40,37.54655520121256,126.56712532043456,3,10
20000,100,54.45679028828939,133.43373934427896,3,10
30000,10,21.184206008911133,230.6044101715088,3,10
30000,40,47.30542500813802,179.7009309132894,3,10
30000,100,108.9627742767334,163.07648022969565,3,10
40000,10,40.465752283732094,244.235118230184,3,10
40000,40,63.82155418395996,196.53789202372232,3,10
40000,100,137.96250025431314,229.5072078704834,3,10
50000,10,48.63921801249186,205.66153526306152,3,10
50000,40,85.56151390075684,233.203649520874,3,10
50000,100,198.31196467081705,328.40903600056964,3,10
60000,10,80.51196734110515,415.4555002848308,3,10
60000,40,128.48027547200522,366.58088366190594,3,10
60000,100,203.46967379252115,417.8357124328613,3,10
70000,10,75.92201232910156,332.3062260945638,3,10
70000,40,197.1179644266764,419.8789596557617,3,10
70000,100,273.82222811381024,484.7924709320069,3,10
80000,10,112.94953028361004,334.19378598531085,3,10
80000,40,177.02730496724448,408.5179964701335,3,10
80000,100,376.1550585428874,488.3984724680583,3,10
90000,10,150.18860499064127,349.3657906850179,3,10
90000,40,227.6624043782552,526.9997914632162,3,10
90000,100,402.92930603027344,495.5832958221436,3,10
100000,10,172.34627405802408,402.5988578796387,3,10
100000,40,235.7738812764485,495.1438903808594,3,10
100000,100,547.9736328125,598.0687936147054,3,10
150000,10,384.88173484802246,669.3204243977865,3,10
150000,40,636.2463633219401,867.520809173584,3,10
150000,100,1117.7353858947754,983.4957122802734,3,10
200000,10,631.67405128479,1004.1924317677816,3,10
200000,40,1126.9255479176838,1411.5391572316487,3,10
200000,100,1747.089385986328,1553.4573396046956,3,10
250000,10,1045.2078183492024,1260.6295744578044,3,10
250000,40,1711.2162113189695,1646.5856234232583,3,10
250000,100,2048.142751057943,2115.4017448425293,3,10
300000,10,1442.4832661946614,1777.9530684153244,3,10
300000,40,2023.450215657552,2222.318728764852,3,10
300000,100,2305.8592478434243,2608.7783177693686,3,10
350000,10,1922.5789705912275,2291.911125183105,3,10
350000,40,2654.564142227173,2777.109861373902,3,10
350000,100,3051.159063975016,3545.5575784047446,3,10
400000,10,2590.719779332479,2860.4896068573,3,10
400000,40,3505.289554595948,3528.081178665161,3,10
400000,100,4021.6879844665527,4342.270215352376,3,10
450000,10,3261.781851450602,3405.3710301717124,3,10
450000,40,4414.836406707764,4201.917966206868,3,10
450000,100,4964.4200801849365,5103.456497192383,3,10
500000,10,4162.88693745931,4207.028388977051,3,10
500000,40,5525.219996770223,5020.044406255086,3,10
500000,100,6158.7239901224775,6210.039695103963,3,10
600000,10,6097.277561823527,5790.899991989136,3,10
600000,40,7778.073628743489,7104.092836380005,3,10
600000,100,8512.597799301147,8387.658993403116,3,10
700000,10,8154.733816782634,7242.876927057902,3,10
700000,40,10805.005629857382,9025.076071421305,3,10
700000,100,11343.958218892416,10913.315773010254,3,10
800000,10,10134.482542673746,9868.218342463177,3,10
800000,40,13859.276056289673,11774.649779001871,3,10
800000,100,15270.803769429524,14115.856726964315,3,10
900000,10,13516.944090525309,12202.67120997111,3,10
900000,40,17224.315881729126,15130.359967549644,3,10
900000,100,18715.436140696205,17754.733244578045,3,10
1000000,10,16737.406969070435,14553.525765736898,3,10
1000000,40,21850.775718688965,18249.81490770976,3,10
1000000,100,22867.441018422443,21930.3404490153,3,10
1500000,10,37513.17485173544,33570.037841796875,3,10
1500000,40,52546.58587773641,43957.87668228149,3,10
1500000,100,59085.38977305094,50031.97391827901,3,10
2000000,10,73330.70667584737,60742.47368176778,3,10
2000000,40,105779.98995780943,65325.668692588806,2,10
2000000,100,90398.0861902237,76478.85477542877,2,10
2500000,10,104706.25388622284,78994.0949678421,2,10
2500000,40,125821.60210609436,95782.79554843904,2,10
2500000,100,66943.34137439728,110900.17807483672,2,10
3000000,10,146043.02632808685,111794.45791244508,2,10
3000000,40,221976.99284553528,130263.41819763184,1,10
3000000,100,192816.32041931152,149442.18015670776,1,10
3500000,10,191813.9760494232,140766.18671417236,1,10
3500000,40,243021.97980880737,217939.2101764679,1,10
3500000,100,0.0,198759.4130039215,1,10
4000000,10,252608.25276374817,181205.8591842652,1,10
4000000,40,317660.61639785767,267182.4448108673,1,10
4000000,100,344898.25916290283,267201.69711112976,1,10
4500000,10,322019.9136734009,268583.47511291504,1,10
4500000,40,402179.2817115784,279882.5821876526,1,10
4500000,100,432510.7576847077,362070.1727867127,1,10
5000000,10,0.0,271377.6762485504,1,10
5000000,40,0.0,339027.2026062012,1,10
5000000,100,0.0,385297.5692749024,1,10
5500000,10,520127.6717185974,322111.6044521332,1,10
1000,10,17.957687377929688,281.22448921203613,2,3
1000,40,1.7960071563720703,7.550239562988281,2,3
1000,100,3.014087677001953,16.361117362976074,2,3
1000,10,2.0246505737304688,8.106350898742676,2,5
1000,40,1.193523406982422,10.255813598632812,2,5
1000,100,2.5942325592041016,12.354612350463867,2,5
2000,10,1.2317895889282229,9.346365928649902,2,3
2000,40,2.003192901611328,12.903451919555664,2,3
2000,100,3.651976585388184,18.79405975341797,2,3
2000,10,1.3473033905029297,11.213302612304688,2,5
2000,40,1.7628669738769531,9.21916961669922,2,5
2000,100,3.5300254821777344,17.913103103637695,2,5
3000,10,1.4878511428833008,18.422722816467285,2,3
3000,40,2.784132957458496,10.744452476501465,2,3
