dim,points,k,time_ms,status
3,0,40,0.0,empty
3,100000,40,1500.1896927133203,ok
3,500000,40,2379.2004203423858,ok
3,1000000,40,4131.304049864411,ok
3,1500000,40,6303.993947803974,ok
3,2000000,40,8237.483146600425,ok
3,2500000,40,9996.559468097985,ok
3,3000000,40,12320.679290220141,ok
3,3500000,40,14203.851867467165,ok
3,4000000,40,16436.438280157745,ok
3,4500000,40,18162.933501414955,ok
3,5000000,40,20554.19892538339,ok
5,0,40,0.0,empty
5,100000,40,628.5366648808122,ok
5,500000,40,2210.4667220264673,ok
5,1000000,40,4155.863754451275,ok
5,1500000,40,5992.419213987887,ok
5,2000000,40,8155.028121545911,ok
5,2500000,40,10009.637865237892,ok
5,3000000,40,11746.841253712773,ok
5,3500000,40,13970.481841824949,ok
5,4000000,40,16226.750508882105,ok
5,4500000,40,18111.640603281558,ok
5,5000000,40,20946.22939452529,ok
3,0,10,0.0,empty
3,100000,10,637.30204757303,ok
3,500000,10,2247.3807437345386,ok
3,1000000,10,4169.452466070652,ok
3,1500000,10,6008.168941363692,ok
3,2000000,10,8041.596971452236,ok
3,2500000,10,10016.588035970926,ok
3,3000000,10,12355.863451957703,ok
3,3500000,10,13591.297238133848,ok
3,4000000,10,17682.466068305075,ok
3,4500000,10,19100.28855036944,ok
3,5000000,10,20734.255712479353,ok
3,0,100,0.0,empty
3,100000,100,,error
3,500000,100,,error
3,1000000,100,,error
3,1500000,100,,error
3,2000000,100,,error
3,2500000,100,,error
3,3000000,100,,error
3,3500000,100,,error
3,4000000,100,,error
3,4500000,100,,error
3,5000000,100,,error
2,5000000,40,19452.46355701238,ok
4,5000000,40,20200.413622893393,ok
6,5000000,40,20008.45025293529,ok
7,5000000,40,20081.047377549112,ok
8,5000000,40,20193.44690348953,ok
9,5000000,40,19945.909776724875,ok
10,5000000,40,19596.917675808072,ok
11,5000000,40,19724.51880108565,ok
12,5000000,40,20432.524589821696,ok
13,5000000,40,20013.657331466675,ok
14,5000000,40,19683.858297765255,ok
15,5000000,40,20173.297569155693,ok
3,0,40,0.0,empty
3,100000,40,609.5839096233249,ok
3,500000,40,2134.5936385914683,ok
3,1000000,40,4071.9299679622054,ok
3,1500000,40,5839.688280597329,ok
3,2000000,40,8043.09028852731,ok
3,2500000,40,9965.422651730478,ok
3,3000000,40,11782.156710512936,ok
3,3500000,40,13583.444875665009,ok
3,4000000,40,15422.751339152455,ok
3,4500000,40,17372.490556910634,ok
3,5000000,40,19700.74297580868,ok
5,0,40,0.0,empty
5,100000,40,611.7967879399657,ok
5,500000,40,2178.6597138270736,ok
5,1000000,40,4132.563785649836,ok
5,1500000,40,5894.6954952552915,ok
5,2000000,40,7967.740589752793,ok
5,2500000,40,9834.751858375967,ok
5,3000000,40,11758.656748570502,ok
5,3500000,40,13766.41708984971,ok
5,4000000,40,16339.296876452863,ok
5,4500000,40,18344.2553402856,ok
5,5000000,40,21216.39145538211,ok
3,0,10,0.0,empty
3,100000,10,614.6567529067397,ok
3,500000,10,2134.1658867895603,ok
3,1000000,10,4107.990222983062,ok
3,1500000,10,6055.600941181183,ok
3,2000000,10,7888.129618950188,ok
3,2500000,10,9985.377277247608,ok
3,3000000,10,12413.569600321352,ok
3,3500000,10,14257.335058413446,ok
3,4000000,10,16367.243684828281,ok
3,4500000,10,18904.629746451974,ok
3,5000000,10,19602.993725799024,ok
3,0,100,0.0,empty
3,100000,100,,error
3,500000,100,,error
3,1000000,100,,error
3,1500000,100,,error
3,2000000,100,,error
3,2500000,100,,error
3,3000000,100,,error
3,3500000,100,,error
3,4000000,100,,error
3,4500000,100,,error
3,5000000,100,,error
2,5000000,40,20814.879247918725,ok
4,5000000,40,21607.34631679952,ok
6,5000000,40,20688.800389878452,ok
7,5000000,40,21049.899876117706,ok
8,5000000,40,20705.86704928428,ok
9,5000000,40,20485.095424577594,ok
10,5000000,40,20781.908294185996,ok
11,5000000,40,20407.124313525856,ok
12,5000000,40,20868.509924039245,ok
13,5000000,40,21690.425261855125,ok
14,5000000,40,20184.179816395044,ok
15,5000000,40,21167.19633433968,ok
3,0,40,0.0,empty
