size,k,dimension,hnswlib_time,fgc_time,count
100000,10,2,560.4915618896484,319.86427307128906,1
100000,10,3,607.9511642456055,198.325514793396,2
100000,10,4,623.3439445495605,55.25994300842285,1
100000,10,5,635.7517242431641,112.6694679260254,1
100000,40,2,571.6491540273031,221.9087282816569,3
100000,40,3,614.6584749221802,71.38168811798096,4
100000,40,4,624.6260007222494,97.55245844523112,3
100000,40,5,637.7665201822916,176.54077212015787,3
100000,40,6,643.2754993438721,179.01098728179932,2
100000,40,7,640.7207250595093,393.548846244812,2
100000,40,8,683.9830875396729,408.3396196365357,2
100000,40,9,752.7652978897095,460.1762294769287,2
100000,40,10,704.1726112365723,493.6398267745972,2
100000,40,11,696.4913606643677,520.5769538879395,2
100000,40,12,693.3615207672119,831.6953182220459,1
100000,40,13,692.8260326385498,962.305784225464,1
100000,40,14,720.2262878417969,1143.1686878204346,1
100000,40,15,650.4850387573242,1235.9142303466797,1
100000,40,16,661.0794067382812,1972.315788269043,1
100000,40,17,683.8185787200928,1855.6172847747805,1
100000,40,18,685.1279735565186,2037.5587940216064,1
100000,40,19,673.4497547149658,1838.421106338501,1
100000,40,20,700.8171081542969,2082.847595214844,1
100000,40,21,706.7098617553711,2604.2025089263916,1
100000,40,22,673.8555431365967,3364.980936050415,1
100000,40,23,716.2981033325195,3222.546100616455,1
100000,40,24,665.3859615325928,3265.6939029693604,1
100000,40,25,747.3351955413818,3819.714784622192,1
100000,40,26,711.2655639648438,4384.899139404297,1
100000,40,27,710.1500034332275,4408.600330352783,1
100000,40,28,691.6351318359375,4396.295547485352,1
100000,40,29,725.5232334136963,4405.666828155518,1
100000,40,30,730.2753925323486,4980.591535568237,1
100000,100,2,590.3706550598145,56.20551109313965,1
100000,100,3,580.0471305847168,70.56772708892822,2
100000,100,4,595.9570407867432,91.0658836364746,1
100000,100,5,607.0506572723389,328.3400535583496,1
150000,10,3,852.2751331329346,38.65337371826172,1
150000,10,5,932.7476024627686,231.44960403442383,1
150000,40,3,862.5545501708984,85.55841445922852,1
150000,40,5,901.7782211303712,338.4814262390137,1
150000,100,3,866.2400245666504,94.04778480529784,1
150000,100,5,930.3748607635498,492.77424812316895,1
200000,10,3,1154.7458171844482,55.413007736206055,1
200000,10,5,1265.2473449707031,291.5325164794922,1
200000,40,3,1190.692663192749,79.51021194458008,1
200000,40,5,1292.0191287994385,413.2547378540039,1
200000,100,3,1168.3223247528076,129.10056114196777,1
200000,100,5,1248.392105102539,606.7371368408203,1
250000,10,3,1494.7350025177002,50.83155632019043,1
250000,10,5,1566.9801235198977,395.0643539428711,1
250000,40,3,1465.7385349273682,78.63259315490723,1
250000,40,5,1588.9809131622314,571.8245506286621,1
250000,100,3,1449.380874633789,148.44322204589844,1
250000,100,5,1617.1777248382568,836.8122577667236,1
300000,10,3,1736.4003658294678,24.608850479125977,1
300000,10,5,1946.8023777008057,483.78753662109375,1
300000,40,3,1748.3415603637695,43.34759712219238,1
300000,40,5,1945.474624633789,681.1213493347168,1
300000,100,3,1728.7709712982178,72.02792167663574,1
300000,100,5,1932.7442646026611,718.5685634613037,1
350000,10,3,2039.2911434173584,15.405893325805664,1
350000,10,5,2195.2290534973145,308.82835388183594,1
350000,40,3,1998.4748363494873,107.79428482055664,1
350000,40,5,2188.927412033081,546.6036796569824,1
350000,100,3,2041.8555736541748,187.99090385437012,1
350000,100,5,2253.655433654785,1345.1545238494873,1
400000,10,3,2348.2797145843506,61.38324737548828,1
400000,10,5,2625.7362365722656,718.4016704559326,1
400000,40,3,2373.9895820617676,53.577423095703125,1
400000,40,5,2626.8699169158936,620.2242374420166,1
400000,100,3,2354.0501594543457,183.55822563171387,1
400000,100,5,2734.3058586120605,1503.8514137268066,1
450000,10,3,2617.958068847656,62.58678436279297,1
450000,10,5,3033.0843925476074,823.2533931732178,1
450000,40,3,2619.582414627075,61.850547790527344,1
450000,40,5,3052.5825023651123,675.0147342681885,1
450000,100,3,2694.819688796997,147.60780334472656,1
450000,100,5,3183.796167373657,1502.8843879699707,1
500000,10,3,2966.8188095092773,76.89309120178223,1
500000,10,5,3386.981725692749,967.3125743865968,1
500000,40,3,2931.3766956329346,48.97761344909668,1
500000,40,5,3425.8501529693604,843.5511589050293,1
500000,100,3,2990.980386734009,189.19968605041504,1
500000,100,5,3554.084300994873,2216.564655303955,1
600000,10,3,3532.665491104126,83.23812484741211,1
600000,10,5,3988.7032508850098,809.8385334014893,1
600000,40,3,3556.612014770508,88.90366554260254,1
600000,40,5,4082.786321640014,1847.116231918335,1
600000,100,3,3575.0274658203125,352.830171585083,1
600000,100,5,4170.1531410217285,1831.3941955566409,1
700000,10,3,4141.85357093811,156.26835823059082,1
700000,10,5,4854.049444198608,1008.5046291351318,1
700000,40,3,4073.2128620147705,117.9666519165039,1
700000,40,5,4945.3277587890625,2340.3143882751465,1
700000,100,3,4106.260538101196,433.61544609069824,1
700000,100,5,5286.316394805908,3115.6229972839355,1
800000,10,3,4930.537939071655,103.68680953979492,1
