algorithm,dim,points,k,memory_mb,status
fgc,3,0,10,0.0,empty
fgc,3,0,40,0.0,empty
fgc,3,0,100,0.0,empty
fgc,5,0,40,0.0,empty
fgc,3,100000,10,43.636224,ok
fgc,3,100000,40,141.190144,ok
fgc,3,100000,100,331.454464,ok
fgc,5,100000,40,144.390656,ok
fgc,3,500000,10,219.933184,ok
fgc,3,500000,40,697.990144,ok
fgc,3,500000,100,1659.65824,ok
fgc,5,500000,40,712.961536,ok
fgc,3,1000000,10,433.98912,ok
fgc,3,1000000,40,1396.581888,ok
fgc,3,1000000,100,3315.101184,ok
fgc,5,1000000,40,1426.524672,ok
fgc,3,1500000,10,652.579328,ok
fgc,3,1500000,40,2091.687936,ok
fgc,3,1500000,100,4970.944512,ok
fgc,5,1500000,40,2133.687808,ok
fgc,3,2000000,10,867.235328,ok
fgc,3,2000000,40,2788.96384,ok
fgc,3,2000000,100,6627.616256,ok
fgc,5,2000000,40,2844.96384,ok
fgc,3,2500000,10,1083.704832,ok
fgc,3,2500000,40,3483.490304,ok
fgc,3,2500000,100,8285.110272,ok
fgc,5,2500000,40,3554.153472,ok
fgc,3,3000000,10,1297.373184,ok
fgc,3,3000000,40,4179.355648,ok
fgc,3,3000000,100,9937.373184,ok
fgc,5,3000000,40,4264.990208,ok
fgc,3,3500000,10,1516.509696,ok
fgc,3,3500000,40,4872.436224,ok
fgc,3,3500000,100,11594.231296,ok
fgc,5,3500000,40,4970.436096,ok
fgc,3,4000000,10,1731.496448,ok
fgc,3,4000000,40,5568.90368,ok
fgc,3,4000000,100,13249.919488,ok
fgc,5,4000000,40,5680.669184,ok
fgc,3,4500000,10,1949.734912,ok
fgc,3,4500000,40,6269.124608,ok
fgc,3,4500000,100,14909.324288,ok
fgc,5,4500000,40,6394.953728,ok
fgc,3,5000000,10,2163.7376,ok
fgc,3,5000000,40,6962.450432,ok
fgc,3,5000000,100,16563.43552,ok
fgc,5,5000000,40,7102.959616,ok
fgc,2,5000000,40,6840.398848,ok
fgc,4,5000000,40,7061.633024,ok
fgc,6,5000000,40,7141.633024,ok
fgc,7,5000000,40,7182.651392,ok
fgc,8,5000000,40,7221.633024,ok
fgc,9,5000000,40,7262.343168,ok
fgc,10,5000000,40,7301.633024,ok
faiss,3,0,10,0.0,empty
faiss,3,0,40,0.0,empty
faiss,3,0,100,0.0,empty
faiss,5,0,40,0.0,empty
faiss,3,100000,10,1.200128,ok
faiss,3,100000,40,1.200128,ok
faiss,3,100000,100,1.200128,ok
faiss,5,100000,40,2.000384,ok
faiss,3,500000,10,6.000128,ok
faiss,3,500000,40,6.000128,ok
faiss,3,500000,100,6.000128,ok
faiss,5,500000,40,10.000384,ok
faiss,3,1000000,10,12.582912,ok
faiss,3,1000000,40,12.582912,ok
faiss,3,1000000,100,12.582912,ok
faiss,5,1000000,40,20.97152,ok
faiss,3,1500000,10,18.874368,ok
faiss,3,1500000,40,18.874368,ok
faiss,3,1500000,100,18.874368,ok
