dim,points,k,time_ms,recall,status
3,100000,10,341.62767394445837,0.8334559798240662,ok
3,100000,10,99.2753840982914,0.8334559798240662,ok
3,100000,10,97.17373200692236,0.8334559798240662,ok
3,100000,40,1352.5931099429727,0.9619535207748413,ok
3,100000,40,1500.6340648978949,0.9619535207748413,ok
3,100000,40,1508.630125084892,0.9619535207748413,ok
3,100000,100,1402.8588919900358,0.9866907000541687,ok
3,100000,100,1253.9777648635209,0.9866907000541687,ok
3,100000,100,1185.279434081167,0.9866907000541687,ok
5,100000,40,4931.63417908363,0.28689274191856384,ok
5,100000,40,5125.535458093509,0.28689274191856384,ok
5,100000,40,4959.005999146029,0.28689274191856384,ok
3,500000,10,2720.9180330391973,0.6425284147262573,ok
3,500000,10,2683.643437922001,0.6425284147262573,ok
3,500000,10,2848.257748177275,0.6425284147262573,ok
3,500000,40,2696.0123528260738,0.8646765947341919,ok
3,500000,40,2948.6458278261125,0.8646765947341919,ok
3,500000,40,2725.241899024695,0.8646765947341919,ok
3,500000,100,3530.948423780501,0.9479396939277649,ok
3,500000,100,3766.784711042419,0.9479396939277649,ok
3,500000,100,3513.4606598876417,0.9479396939277649,ok
5,500000,40,7001.624282915145,0.17128629982471466,ok
5,500000,40,6715.530754998326,0.17128629982471466,ok
5,500000,40,6959.524107165635,0.17128629982471466,ok
2,100000,40,78.81250698119402,0.9619535207748413,ok
2,100000,40,73.92767397686839,0.9619535207748413,ok
2,100000,40,73.87526496313512,0.9619535207748413,ok
2,500000,40,2367.5863810349256,0.8646765947341919,ok
2,500000,40,2225.7443589624017,0.8646765947341919,ok
2,500000,40,2352.9269720893353,0.8646765947341919,ok
4,100000,40,1313.7245899997652,0.9572002291679382,ok
4,100000,40,1528.5165279638022,0.9572002291679382,ok
4,100000,40,1365.4247908852994,0.9572002291679382,ok
4,500000,40,3355.6318518240005,0.8524349331855774,ok
4,500000,40,3402.971751987934,0.8524349331855774,ok
4,500000,40,3506.110962945968,0.8524349331855774,ok
6,100000,40,9453.674416057765,0.98736572265625,ok
6,100000,40,9458.098739152774,0.98736572265625,ok
6,100000,40,9400.935971178114,0.98736572265625,ok
6,500000,40,15692.362683825195,0.9666483402252197,ok
6,500000,40,15636.0183339566,0.9666483402252197,ok
6,500000,40,15715.19644302316,0.9666483402252197,ok
7,100000,40,12723.962983116508,0.9988135099411011,ok
7,100000,40,12720.150863053277,0.9988135099411011,ok
7,100000,40,12708.094412926584,0.9988135099411011,ok
7,500000,40,18862.795783905312,0.9941750168800354,ok
7,500000,40,18315.858148038387,0.9941750168800354,ok
7,500000,40,18734.501148108393,0.9941750168800354,ok
8,100000,40,12898.507899837568,0.9985479712486267,ok
8,100000,40,12983.75282716006,0.9985479712486267,ok
8,100000,40,13011.945978039876,0.9985479712486267,ok
8,500000,40,17817.05530709587,0.9935259819030762,ok
8,500000,40,17804.663904942572,0.9935259819030762,ok
8,500000,40,17564.48926613666,0.9935259819030762,ok
9,100000,40,13192.011127946898,0.9985479712486267,ok
9,100000,40,13238.482054090127,0.9985479712486267,ok
9,100000,40,13227.308297995478,0.9985479712486267,ok
9,500000,40,19207.965505076572,0.9935259819030762,ok
9,500000,40,19426.635487005115,0.9935259819030762,ok
9,500000,40,19415.68864393048,0.9935259819030762,ok
10,100000,40,13319.496678886935,0.9983517527580261,ok
10,100000,40,11159.107469953597,0.9983517527580261,ok
10,100000,40,11147.150995908305,0.9983517527580261,ok
10,500000,40,17572.69300101325,0.9932336211204529,ok
10,500000,40,17358.314759097993,0.9932336211204529,ok
10,500000,40,17421.74218199216,0.9932336211204529,ok
